,Run #,Run #_EIS,Sample #,x (cm),y (cm),Pt (Atomic%),Pd (Atomic%),Au (Atomic%),Ir (Atomic%),iR drop (Ω),Notes,d_average,EN,IE,SE,d_band,IR,overP0,J0,Voc0,overP1,J1,Voc1,overP2,J2,Voc2,overP3,J3,Voc3,overP4,J4,Voc4
28,run9-2,run9-2,29,-1,-1,0.3793,0.1273,0.4327,0.0607,,,9.4386,1.426566,8.99851,1.19054,-2.754873,,,,,,,,,,,,,,,,
29,run9-2,run9-2,30,0,-1,0.2616,0.1167,0.5259,0.0957,59.64,,9.4503,1.429362,9.0297,1.150908,-2.876292,59.64196,0.715639288,,1.481259563,0.715842124,,1.311280259,0.71702512,,1.217239165,0.719730528,,1.271135388,0.720856465,,1.251271968
30,Run9-2,run9-2,31,1,-1,0.1874,0.109,0.5628,0.1409,,,9.3909,1.434577,9.046681,1.161136,-2.921987,,,,,,,,,,,,,,,,
31,Run9-2,run9-2,32,2,-1,0.139,0.1152,0.5325,0.2133,63.65,,9.2211,1.442445,9.034484,1.240462,-2.869329,63.65197,0.658396628,-0.868959923,1.351298797,0.566432536,0.033933154,1.13715551,0.512472894,0.328953094,1.091230619,0.497496943,0.392118485,1.093212797,0.49501015,0.410680102,1.075263464
32,Run9-2,run9-2,33,3,-1,0.116,0.1212,0.459,0.3037,55.91,,8.9719,1.453175,9.010927,1.366184,-2.757643,55.90944,0.60974188,-0.418574701,1.321295063,0.454672147,0.48212774,1.117231231,0.386722576,0.662448375,1.09521334,0.377216668,0.683813736,1.091225081,0.382888352,0.672619716,1.095232909
33,Run9-2,run9-2,34,-3,-2,0.6525,0.1073,0.2393,0.0009,59.65,,9.3448,1.425656,8.958094,1.288616,-2.518291,59.65318,0.712309791,-1.309751671,1.361259555,0.680764865,-0.688449033,1.113187255,0.669779109,-0.451196954,1.103278167,0.665013752,-0.36896873,1.117257467,0.662894674,-0.317848507,1.123294733
34,Run9-2,run9-2,35,-2,-2,0.5396,0.1063,0.3239,0.0302,58.33,,9.3698,1.427277,8.981849,1.249592,-2.625435,58.33214,0.712933424,-1.401677386,1.361167586,0.693723,-1.135965652,1.075264476,0.684418622,-0.812560434,1.083244234,0.676898563,-0.634617963,1.111254384,0.673189648,-0.540318932,1.107179252
35,Run9-2,run9-2,36,-1,-2,0.4261,0.1038,0.4185,0.0516,64.56,,9.4191,1.427964,9.009155,1.197058,-2.747415,64.56223,0.728554244,-1.922127999,1.371269656,0.719982948,,1.103285344,0.716176123,-1.713507767,1.107227045,0.709167384,-1.119695853,1.10529878,0.705279664,-0.951451589,1.093260682
36,Run9-2,run9-2,37,0,-2,0.2963,0.1031,0.5191,0.0815,58.26,,9.4592,1.429304,9.03705,1.146632,-2.875309,58.25886,0.707674614,-1.261939616,1.30126452,0.695522925,,1.075234167,0.690879038,-1.391721537,1.059195717,0.688139218,-1.047200546,1.059276696,0.686435464,-0.839666326,1.043292834
37,Run9-2,run9-2,38,1,-2,0.2058,0.0902,0.5836,0.1204,67.62,,9.433,1.433454,9.062852,1.131828,-2.959776,67.61588,0.715640609,-1.59382705,1.381172206,0.706579258,,1.065258822,0.708159654,,1.069268221,0.702906794,-2.493800366,1.059172206,0.697485533,-1.225616978,1.065242459
38,Run9-2,run9-2,39,2,-2,0.1568,0.0941,0.5826,0.1665,60.39,,9.3437,1.438194,9.060625,1.168902,-2.950374,60.3899,0.673436579,-1.109286212,1.371275844,0.629942014,-0.451114093,1.081210623,0.615364872,-0.251641184,1.06522572,0.605835204,-0.130162709,1.063288405,0.601227314,-0.063197446,1.061282125
39,Run9-2,run9-2,40,3,-2,0.1267,0.1018,0.5288,0.2426,65.45,,9.1445,1.446804,9.04119,1.268368,-2.865783,65.45326,0.646985253,-0.971739452,1.361255623,0.54918387,0.096399332,1.12116713,0.517412996,0.275467176,1.077176293,0.502809963,0.345845723,1.059278335,0.499589726,0.369928483,1.057276044
40,Run9-2,run9-2,41,-2,-3,0.5787,0.0904,0.3089,0.0221,58.17,,9.356,1.428261,8.988472,1.256586,-2.613822,58.16581,0.721904715,,1.431276734,0.692886838,,1.193230201,0.689981817,,1.089288832,0.688071641,,1.243284761,0.686176268,,1.183266613
41,Run9-2,run9-2,42,-1,-3,0.4636,0.0972,0.3994,0.0398,56.92,,9.417,1.427642,9.007972,1.202676,-2.726818,56.92257,0.728680909,,1.421294974,0.710304123,,1.119241939,0.706290376,,1.105292999,0.701985557,,1.129091663,0.699680328,,1.169237954
42,Run9-2,run9-2,43,0,-3,0.3342,0.093,0.509,0.0637,58.92,,9.4737,1.428313,9.039511,1.141132,-2.868587,58.91659,0.723619133,,1.431251865,0.7116055,,1.103282561,0.710238717,,1.113272309,0.70734352,,1.261186291,0.705276017,,1.157284564
43,Run9-2,run9-2,44,1,-3,0.238,0.0902,0.5812,0.0905,60.95,,9.4895,1.430069,9.061009,1.109536,-2.960593,60.94601,0.729125984,,1.431294618,0.717347061,,1.137288298,0.716638796,,1.11522077,0.712642703,,1.099294618,0.709527822,,1.099292504
44,Run9-2,run9-2,45,2,-3,0.1802,0.0875,0.5998,0.1325,79.08,,9.4223,1.434704,9.069021,1.129898,-2.980438,,,,,,,,,,,,,,,,
46,Run10-2,Run10-2,1,-2,3,0.2717,0.3499,0.3062,0.0721,49.88,,9.511,1.410172,8.825561,1.261958,-2.493845,79.03659,0.659665575,-0.343027123,1.111279292,0.633493994,-0.065911423,1.07124096,0.62216306,0.054392686,1.063109522,0.617569898,0.096553475,1.059290278,0.474632563,0.545843481,1.057268385
47,Run10-2,Run10-2,2,-1,3,0.1951,0.3545,0.347,0.1035,58.82,,9.4954,1.412684,8.835831,1.256538,-2.541415,72.53313,0.622805133,-0.44472698,1.301298629,0.589600071,-4.9995E-05,1.055273453,0.587070341,0.086496441,1.029298629,0.588037389,0.11733193,1.031173067,0.588262991,0.146156664,1.023245818
48,Run10-2,Run10-2,3,0,3,0.1444,0.3373,0.3648,0.1535,57.13,,9.3951,1.419232,8.850905,1.285626,-2.564732,71.07697,0.579133495,-0.173326182,1.261224658,0.485450064,0.401477946,0.989224658,0.439476754,0.547697836,1.011246906,0.414868485,0.608654446,1.023145763,0.397943594,0.645275006,0.999224658
49,Run10-2,Run10-2,4,1,3,0.1071,0.3289,0.3434,0.2206,58.75,,9.2311,1.427797,8.851006,1.356318,-2.530832,78.02795,0.512407037,0.194572807,1.245233598,0.397765959,0.633162074,1.061206366,0.382010159,0.672417945,1.041090105,0.384564037,0.66762712,0.999168913,0.388459588,0.659687069,1.005260596
50,Run10-2,Run10-2,5,2,3,0.0807,0.3088,0.3047,0.3059,58.37,,9.0026,1.439907,8.854768,1.456158,-2.47686,73.33396,0.463251737,0.359134682,1.311265533,0.295396041,0.87942315,1.251199532,0.277091603,0.914553887,1.249237593,0.282766244,0.892869926,1.117283353,0.298983679,0.85415584,1.083278293
51,Run10-2,Run10-2,6,-3,2,0.3943,0.2626,0.3045,0.0386,54.9,,9.4899,1.414522,8.879789,1.248786,-2.533199,74.39021,0.646266299,-0.183153182,1.271285717,0.65515557,-0.166586624,1.113226354,0.669940436,-0.244062095,1.10923409,0.673670058,-0.228210656,1.087259904,0.67528899,-0.203627182,1.073241827
52,Run10-2,Run10-2,7,-2,2,0.2968,0.2589,0.3731,0.0712,53.56,,9.4896,1.417069,8.900931,1.22462,-2.620055,75.01263,0.657546464,-0.612223925,1.321233539,0.646182929,-0.344188458,1.115280347,0.65514123,-0.327788457,1.071207734,0.659881597,-0.310593249,1.067233539,0.662244023,-0.2774014,1.047202484
